Date,dailymeanspeed,dailymeandir
2/3/2002,23.67647059,74.11547066
2/4/2002,42.93181818,85.68352182
2/5/2002,31.44117647,82.94053234
2/6/2002,23.21621622,57.61687885
2/7/2002,9.636363636,34.13094739
2/8/2002,11.92857143,48.34045539
2/9/2002,6.447368421,264.9161159
2/10/2002,8.166666667,1.017784029
2/11/2002,7.085714286,82.37408299
2/12/2002,8.44,29.00313927
2/13/2002,15.15625,59.06333329
2/14/2002,15.76666667,56.33648586
2/15/2002,20.02941176,69.1186448
2/16/2002,21,62.95864038
2/17/2002,15.16,58.40464426
2/18/2002,7.962962963,66.60548106
2/19/2002,4.708333333,129.0202343
2/20/2002,8.84,227.1693041
2/21/2002,9,231.8270997
2/22/2002,9.793103448,97.23389981
2/23/2002,10.41666667,90.83537955
2/24/2002,13.625,96.25298301
2/25/2002,23.06666667,88.66962177
2/26/2002,23.47058824,91.17983067
2/27/2002,15.22580645,108.0163705
2/28/2002,3.896551724,13.57208609
3/1/2002,9.647058824,262.9108453
3/2/2002,14.87234043,274.2763812
3/3/2002,11.96774194,259.7513268
3/4/2002,4.027027027,236.3722054
3/5/2002,16.5,233.8031718
3/6/2002,13.75609756,264.687726
3/7/2002,8.319148936,266.5418415
3/8/2002,8.472727273,78.18726736
3/9/2002,4.769230769,57.82246691
3/10/2002,8.513513514,56.01005471
3/11/2002,15.07843137,69.80415789
3/12/2002,6.380952381,27.50331328
3/13/2002,2.860465116,305.4123739
3/14/2002,2.760869565,32.41557408
3/15/2002,8.32,100.0124149
3/16/2002,16.10714286,97.15359731
3/17/2002,6.666666667,152.3561294
3/18/2002,7.88,192.1748186
3/19/2002,11.95833333,227.1392433
3/20/2002,4.03030303,297.7020229
3/21/2002,10.42857143,247.761791
3/22/2002,9.56097561,248.0297055
3/23/2002,11.82142857,44.3127531
3/24/2002,15.0483871,65.96698316
3/25/2002,23.88461538,58.65738496
3/26/2002,17.125,57.19199983
3/27/2002,8,14.31630203
3/28/2002,11.94594595,238.6440582
3/29/2002,11.29166667,234.5753964
3/30/2002,7.32,267.6174354
3/31/2002,9.769230769,107.4319327
4/1/2002,13.97435897,233.9969638
4/2/2002,11.37777778,261.6112908
4/3/2002,5.95,231.4816302
4/4/2002,13.27586207,232.4165905
4/5/2002,20.68627451,264.7720049
4/6/2002,14.97142857,278.3740803
4/7/2002,7.833333333,147.9635368
4/8/2002,21.73913043,265.3316228
4/9/2002,22.9137931,242.2483066
4/10/2002,14.69387755,252.2824252
4/11/2002,14.59090909,249.2840395
4/12/2002,11.46153846,162.4935714
4/13/2002,18.65116279,245.3546427
4/14/2002,5.3,350.3013371
4/15/2002,6.833333333,282.6961073
4/16/2002,11.36363636,246.8428714
4/17/2002,21.09090909,89.75607871
4/18/2002,22.86,240.3531821
4/19/2002,10.79166667,213.9160934
4/20/2002,15.4,65.15218816
4/21/2002,10.62962963,68.90306709
4/22/2002,4.3,273.8086496
4/23/2002,13.41666667,223.6451516
4/24/2002,15.91666667,232.0710381
4/25/2002,10.95833333,215.4192471
4/26/2002,18.13953488,193.4854568
4/27/2002,31.89090909,264.0075611
4/28/2002,14.55813953,298.5500491
4/29/2002,26.61538462,78.21657719
4/30/2002,36.71153846,77.69716886
5/1/2002,40.23913043,77.61855526
5/2/2002,17.04,65.98285899
5/3/2002,15.03333333,62.9782908
5/4/2002,17.82352941,91.21260183
5/5/2002,7.291666667,101.238558
5/6/2002,9.423076923,199.1590804
5/7/2002,8.875,200.7035531
5/8/2002,8,175.8869446
5/9/2002,5.75,79.18121016
5/10/2002,3.62962963,293.6860822
5/11/2002,9.771929825,255.9184477
5/12/2002,9.212765957,178.3820128
5/13/2002,11.27906977,234.3074599
5/14/2002,14.3030303,259.4516502
5/15/2002,9.296296296,34.44765887
5/16/2002,8.294117647,188.4136086
5/17/2002,10.04166667,234.6818503
5/18/2002,8.333333333,120.5947045
5/19/2002,20.74418605,94.89035419
5/20/2002,17.93548387,95.47713627
5/21/2002,10.93939394,86.92656457
5/22/2002,15.58333333,74.5987778
5/23/2002,15.83333333,84.59291012
5/24/2002,9.125,249.1766928
5/25/2002,8.358974359,52.43414846
5/26/2002,22.07894737,71.58320264
5/27/2002,18.96666667,72.31999491
5/28/2002,22.97619048,65.47218911
5/29/2002,19.4,60.22221996
5/30/2002,15.65909091,64.75045718
5/31/2002,10.71052632,332.6642362
6/1/2002,7.727272727,23.62296569
6/2/2002,13.27272727,58.18410405
6/3/2002,12.68571429,60.84755811
6/4/2002,15.15625,83.72445093
6/5/2002,16.08571429,93.14328596
6/6/2002,11.51428571,96.24693555
6/7/2002,10.36,68.22002826
6/8/2002,16.16666667,79.33474206
6/9/2002,9.058823529,17.22674435
6/10/2002,10.82857143,28.42912525
6/11/2002,9.166666667,58.18548541
6/12/2002,10.43333333,77.32901245
6/13/2002,14.38235294,82.97360971
6/14/2002,8.032258065,56.76491076
6/15/2002,7.565217391,68.52002771
6/16/2002,9.5,26.14720659
6/17/2002,10.91891892,25.38129164
6/18/2002,15.88888889,78.89278998
6/19/2002,7.814814815,16.97621829
6/20/2002,14.97297297,278.370236
6/21/2002,7.658536585,293.7183178
6/22/2002,14.70731707,264.1804018
6/23/2002,10.2195122,78.45746688
6/24/2002,7.677419355,351.2343377
6/25/2002,11.40909091,246.226322
6/26/2002,7.884615385,40.11479324
6/27/2002,12.9375,48.90937072
6/28/2002,7.933333333,11.9436026
6/29/2002,8.03030303,88.44555876
6/30/2002,13,217.2731206
7/1/2002,12.78571429,264.8869288
7/2/2002,26.12962963,265.7289581
7/3/2002,13.85454545,294.7783424
7/4/2002,18.58064516,259.039013
7/5/2002,9.5,249.9453759
7/6/2002,10.54545455,264.5117865
7/7/2002,9.827586207,337.4302018
7/8/2002,12.35714286,91.58384806
7/9/2002,8.03125,188.6090367
7/10/2002,8.777777778,7.45630259
7/11/2002,12.78378378,80.54232289
7/12/2002,14.05263158,83.67854272
7/13/2002,4.060606061,41.20053679
7/14/2002,9.52173913,80.884854
7/15/2002,6.32,78.53007948
7/16/2002,7.791666667,112.7079711
7/17/2002,13.5,81.08931544
7/18/2002,8.375,70.12776402
7/19/2002,7.64516129,57.48825523
7/20/2002,5.40625,28.85493941
7/21/2002,6.125,39.95180229
7/22/2002,9,340.9216902
7/23/2002,6.4375,41.58618864
7/24/2002,11.56756757,270.601971
7/25/2002,19.31818182,297.492603
7/26/2002,9.181818182,297.1785146
7/27/2002,6.535714286,344.3466607
7/28/2002,5.285714286,56.6591655
7/29/2002,9.378378378,79.80534949
7/30/2002,12.33333333,77.91361608
7/31/2002,9.208333333,78.50456551
8/1/2002,5.416666667,305.2044781
8/2/2002,6.458333333,107.9154174
8/3/2002,10.92,276.0482714
8/4/2002,16.16666667,287.5419689
8/5/2002,14.07407407,292.1477315
8/6/2002,14.0952381,271.2516157
8/7/2002,10.30952381,278.7569038
8/8/2002,5.756097561,306.3191072
8/9/2002,3.774193548,34.90711904
8/10/2002,7.580645161,164.1191181
8/11/2002,9.357142857,14.18058235
8/12/2002,6.793103448,44.86690076
8/13/2002,9.303030303,336.551468
8/14/2002,14.3,214.9948868
8/15/2002,23.40425532,275.8743962
8/16/2002,19,264.244688
8/17/2002,18.91304348,282.943072
8/18/2002,11.38297872,288.3747339
8/19/2002,8.71875,279.1559265
8/20/2002,9.730769231,294.0317597
8/21/2002,5.058823529,319.9635991
8/22/2002,7.193548387,244.2902309
8/23/2002,6.72,248.9692432
8/24/2002,4.3,95.42610362
8/25/2002,5.96,132.1949928
8/26/2002,9.458333333,227.3896537
